"PAPER TITLE","DOI","YEAR","MODEL TYPE","TECHNICALITIES","METHODOLOGY","DATA SOURCE","SAMPLE PERIOD","SAMPLE FREQUENCY","FORECAST HORIZONS","VALIDATION METRICS","KEY RESULTS","LIMITATIONS","APPLICATION CONTEXT","JOURNAL / VENUE","LATEX BIBTEX CITATION","DATASET_FLAG","MULTI_STEP","SPATIAL_GRAPH","BIBTEX_KEY"
"Sequence to Sequence Learning with Neural Networks","https://doi.org/10.48550/arXiv.1409.3215","2014","Sequence-to-Sequence (Seq2Seq) LSTM Encoder-Decoder","Deep stacked LSTM encoder-decoder; variable-length input to variable-length output; reversed input sequence trick; multilayer LSTM (4 layers); beam search decoding","LSTM encoder reads input sequence into fixed-length vector → LSTM decoder generates output sequence token by token → input reversal improves gradient flow for long sequences → evaluated on large-scale machine translation","WMT'14 English-French (12M sentence pairs); WMT'14 English-French test set","N/A (foundational architecture paper)","N/A","N/A (general multi-output sequence generation)","BLEU score","Deep LSTM Seq2Seq achieves 34.8 BLEU on WMT'14 En-Fr; foundational encoder-decoder paradigm used in multi-step air quality forecasting (encoder encodes past observations; decoder predicts future horizon steps)","Fixed-length bottleneck reduces performance on very long sequences; resolved by attention mechanisms","Encoder-decoder paradigm for multi-horizon PM2.5 forecasting; architectural basis for multi-step output heads","Advances in Neural Information Processing Systems (NeurIPS 2014)","@inproceedings{sutskever2014seq2seq,   author    = {Sutskever, Ilya and Vinyals, Oriol and Le, Quoc V.},   title     = {Sequence to Sequence Learning with Neural Networks},   booktitle = {Advances in Neural Information Processing Systems},   year      = {2014},   volume    = {27},   url       = {https://arxiv.org/abs/1409.3215} }","Other","Unknown","None","Sutskever2014Seq2Seq"
"Attention Is All You Need","https://doi.org/10.48550/arXiv.1706.03762","2017","Transformer (Multi-Head Self-Attention)","Multi-head self-attention mechanism; positional encodings; scaled dot-product attention; feed-forward sublayers; layer normalization; encoder-decoder Transformer architecture with 6 stacked layers each","Replace recurrence with self-attention → compute Q, K, V matrices → multi-head attention captures dependencies at different representation subspaces → positional encodings inject sequence order → train on large-scale translation → evaluate on MT benchmarks","WMT 2014 English-German (4.5M pairs); WMT 2014 English-French (36M pairs)","N/A (foundational architecture paper)","N/A","N/A (general sequence transduction framework)","BLEU score; training FLOPs","28.4 BLEU (En-De) and 41.0 BLEU (En-Fr); 8× faster training than recurrent baselines; self-attention enables modeling of global dependencies without path length constraints; foundation for all modern spatiotemporal attention-based forecasting","Quadratic complexity O(n²) in sequence length; lacks inherent sequential inductive bias; requires large data","Multi-head attention in GCN-LSTM thesis model; temporal attention mechanism basis for all Transformer-based AQF models in literature","Advances in Neural Information Processing Systems (NeurIPS 2017)","@inproceedings{vaswani2017attention,   author    = {Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, {\L}ukasz and Polosukhin, Illia},   title     = {Attention Is All You Need},   booktitle = {Advances in Neural Information Processing Systems},   year      = {2017},   volume    = {30},   url       = {https://arxiv.org/abs/1706.03762} }","Other","Unknown","None","Vaswani2017Attention"
"Semi-Supervised Classification with Graph Convolutional Networks","https://doi.org/10.48550/arXiv.1609.02907","2017","Graph Convolutional Network (GCN)","Spectral graph convolution via first-order Chebyshev approximation; symmetric normalized adjacency matrix (Ã = D̃^{-1/2} Ã D̃^{-1/2}); layer-wise propagation rule H^{(l+1)} = σ(ÃH^{(l)}W^{(l)}); two-layer GCN for node classification","Derive layer-wise GCN propagation from spectral graph theory → simplify via first-order Chebyshev approximation → stack 2-layer GCN → semi-supervised node classification on citation networks → graph-level feature extraction","Citeseer, Cora, Pubmed citation graphs; NELL knowledge graph","N/A (foundational architecture paper)","N/A","N/A (node classification)","Node classification accuracy","Achieves SOTA node classification with simple 2-layer GCN; defines standard GCN propagation rule used in STGCN, DCRNN, and all graph-based air quality models; spatial encoder in thesis GCN-LSTM architecture","Fixed static graph structure; no attention over neighbors; transductive (cannot generalize to unseen nodes without retraining)","Core spatial encoding layer in GCN-LSTM thesis model; basis for all graph-based PM2.5 forecasting architectures","International Conference on Learning Representations (ICLR 2017)","@inproceedings{kipf2017gcn,   author    = {Kipf, Thomas N. and Welling, Max},   title     = {Semi-Supervised Classification with Graph Convolutional Networks},   booktitle = {International Conference on Learning Representations},   year      = {2017},   url       = {https://arxiv.org/abs/1609.02907} }","Other","Unknown","Static","Kipf2017GCN"
"Graph Attention Networks","https://doi.org/10.48550/arXiv.1710.10903","2018","Graph Attention Network (GAT)","Attention coefficients computed over node neighborhoods; masked self-attention with leaky ReLU; multi-head attention aggregation; inductive node representation learning","Compute attention coefficients e_{ij} for each neighbor pair → normalize via softmax → weighted aggregation of neighbor features → multi-head attention concatenation or averaging → transductive and inductive graph node classification","Cora, Citeseer, Pubmed (transductive); PPI protein interaction graph (inductive)","N/A (foundational architecture paper)","N/A","N/A (node classification)","Node classification accuracy; F1-score (PPI)","State-of-the-art on multiple graph benchmarks; attention mechanism allows dynamic weighting of neighbors; inductive capability enables generalization to unseen nodes; foundational for dynamic adjacency in air quality spatial graphs","Attention computed over fixed observed neighborhood; no edge feature modeling in base version","Attention-based spatial encoding used in several AQF baselines; dynamic neighbor weighting for wind-sensitive pollution transport","International Conference on Learning Representations (ICLR 2018)","@inproceedings{velickovic2018gat,   author    = {Veli{\v{c}}kovi{\'{c}}, Petar and Cucurull, Guillem and Casanova, Arantxa and Romero, Adriana and Li{\`o}, Pietro and Bengio, Yoshua},   title     = {Graph Attention Networks},   booktitle = {International Conference on Learning Representations},   year      = {2018},   url       = {https://arxiv.org/abs/1710.10903} }","Other","Unknown","Static","Velickovic2018GAT"
"Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting","https://doi.org/10.24963/ijcai.2018/505","2018","Spatio-Temporal Graph Convolutional Network (STGCN)","Alternating ST-Conv blocks: temporal gated convolution (1D causal convolution with GLU) + spatial graph convolution (Chebyshev/first-order GCN); all-convolutional architecture (no recurrence); bottleneck channel design; layer normalization","Build road network as graph → stack ST-Conv blocks alternating temporal gated conv and graph conv → output layer predicts multi-step traffic speed → train on standard traffic benchmarks (PeMSD7, METR-LA)","PeMSD7 (228/1026 sensors, 6 months); METR-LA (207 sensors); PeMS datasets","2012 (PeMSD7); varies by dataset","5-minute intervals","15, 30, 45 min ahead","MAE, MAPE, RMSE","STGCN outperforms LSTM and DCRNN baselines with faster training; all-convolutional design improves training stability; unified spatiotemporal framework directly applicable to air quality graph-based forecasting","Static graph topology (no dynamic adjacency); temporal convolution limits receptive field; gating mechanism simpler than attention","Benchmark spatiotemporal architecture directly related to thesis GCN-LSTM model; standard baseline in AQF literature","Proceedings of the International Joint Conference on Artificial Intelligence (IJCAI 2018)","@inproceedings{yu2018stgcn,   author    = {Yu, Bing and Yin, Haoteng and Zhu, Zhanxing},   title     = {Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting},   booktitle = {Proceedings of the International Joint Conference on Artificial Intelligence},   year      = {2018},   pages     = {3634--3640},   doi       = {10.24963/ijcai.2018/505} }","Other","Yes","Static","Yu2018STGCN"
"Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting","https://doi.org/10.48550/arXiv.1707.01926","2018","Diffusion Convolutional Recurrent Neural Network (DCRNN)","Bidirectional random walk on directed graph (diffusion convolution); graph convolution integrated into GRU gates (DCGRU); Seq2Seq encoder-decoder with scheduled sampling; K-hop diffusion truncation","Represent road network as directed graph → model traffic flow as diffusion process → integrate diffusion convolution into GRU → build Seq2Seq with DCGRU encoder and decoder → apply scheduled sampling during training for exposure bias mitigation","METR-LA (207 sensors, Los Angeles; 4 months); PEMS-BAY (325 sensors; 6 months)","2012–2012 (METR-LA); 2017 (PEMS-BAY)","5-minute intervals","15, 30, 45, 60 min ahead","MAE, MAPE, RMSE","DCRNN achieves best-known traffic forecasting performance; treats pollution/traffic transport as diffusion process — physically motivated and applicable to PM2.5 inter-station transport; foundational for GNN+RNN hybrid AQF architectures","High computational cost; diffusion approximation may not perfectly model complex transport dynamics","Foundational architecture for graph-recurrent PM2.5 forecasting; diffusion framework physically consistent with atmospheric pollutant transport","International Conference on Learning Representations (ICLR 2018)","@inproceedings{li2018dcrnn,   author    = {Li, Yaguang and Rose, Yu and Shahabi, Cyrus and Liu, Yan},   title     = {Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting},   booktitle = {International Conference on Learning Representations},   year      = {2018},   url       = {https://arxiv.org/abs/1707.01926} }","Other","Yes","Static","Li2018DCRNN"
"Attention Based Spatial-Temporal Graph Convolutional Networks for Traffic Flow Forecasting","https://doi.org/10.1609/aaai.v33i01.3301922","2019","Attention-based Spatio-Temporal GCN (ASTGCN)","Spatial attention mechanism (soft weighting of graph nodes); temporal attention mechanism (soft weighting of historical time steps); standard GCN; temporal convolution; three components: recent/daily-periodic/weekly-periodic trend modeling with separate sub-networks","Decompose traffic flow into recent/daily/weekly components → for each: compute spatial and temporal attention maps → apply attention-weighted GCN and temporal conv → fuse three component outputs via weighted aggregation → multi-step traffic flow prediction","PeMSD4 (307 detectors, 2 months San Francisco Bay Area); PeMSD8 (170 detectors, 2 months Guangzhou)","Jul–Aug 2016 (PeMSD4); Jul–Aug 2016 (PeMSD8)","5-minute intervals","1h, 2h, 3h ahead","MAE, RMSE, MAPE","ASTGCN outperforms STGCN, DCRNN, and attention-free baselines; spatial and temporal attention improve long-range dependency modeling; periodic component modeling captures daily and weekly patterns relevant to air quality diurnal cycles","Attention complexity increases computation; three-component design increases model parameters","Attention-based STGCN directly related to thesis multi-head attention augmentation; key baseline for attention comparison","Proceedings of the AAAI Conference on Artificial Intelligence (AAAI 2019)","@inproceedings{guo2019astgcn,   author    = {Guo, Shengnan and Lin, Youfang and Feng, Ning and Song, Chao and Wan, Huaiyu},   title     = {Attention Based Spatial-Temporal Graph Convolutional Networks for Traffic Flow Forecasting},   booktitle = {Proceedings of the AAAI Conference on Artificial Intelligence},   year      = {2019},   volume    = {33},   pages     = {922--929},   doi       = {10.1609/aaai.v33i01.3301922} }","Other","Yes","Dynamic","Guo2019ASTGCN"
"Graph WaveNet for Deep Spatial-Temporal Graph Modeling","https://doi.org/10.24963/ijcai.2019/264","2019","Graph WaveNet (Adaptive GCN + Dilated Causal TCN)","Adaptive adjacency matrix (self-learned, not predefined); stacked dilated causal convolutions (WaveNet-style) for temporal modeling; GCN with adaptive + predefined adjacency; exponential receptive field growth via dilation","Randomly initialize node embeddings E1, E2 → adaptive adjacency A_adap = softmax(ReLU(E1·E2^T)) → stack dilated causal WaveNet conv layers + GCN layers → residual connections → predict multi-step traffic","METR-LA (207 sensors); PEMS-BAY (325 sensors)","2012 (METR-LA); 2017 (PEMS-BAY)","5-minute intervals","15, 30, 45, 60 min ahead","MAE, RMSE, MAPE","Graph WaveNet outperforms DCRNN, STGCN on all horizons; adaptive adjacency captures hidden spatial dependencies not in predefined road graph; WaveNet TCN enables long-range temporal modeling; adaptive adjacency concept directly analogous to learnable wind-aware dynamic adjacency in thesis","Adaptive adjacency may overfit on small graphs; WaveNet temporal modeling loses sequential interpretability","Adaptive/dynamic adjacency learning directly relevant to thesis wind-aware dynamic graph construction; key architectural reference","Proceedings of the International Joint Conference on Artificial Intelligence (IJCAI 2019)","@inproceedings{wu2019graphwavenet,   author    = {Wu, Zonghan and Pan, Shirui and Long, Guodong and Jiang, Jing and Zhang, Chengqi},   title     = {Graph {WaveNet} for Deep Spatial-Temporal Graph Modeling},   booktitle = {Proceedings of the International Joint Conference on Artificial Intelligence},   year      = {2019},   pages     = {1907--1913},   doi       = {10.24963/ijcai.2019/264} }","Other","Yes","Dynamic","Wu2019GraphWaveNet"
"Forecasting Fine-Grained Air Quality Based on Big Data","https://doi.org/10.1145/2783258.2783373","2015","Ensemble ML (Gradient Boosting Trees + Neural Network Fusion)","Spatial ensemble of linear regression models per monitoring station; gradient boosting decision trees; meteorological and traffic feature engineering; spatial interpolation; hierarchical fusion of station outputs; U-Air urban air quality inference framework","Collect multi-source urban data (air quality, meteorology, traffic, POI) → feature engineering per station → train per-station predictors → spatial interpolation to unmonitored locations → ensemble fusion for city-wide forecasting → real-time deployment in Microsoft Research Air Quality system","Beijing air quality monitoring stations; Beijing meteorological data; traffic speed data; POI data; road network","2013–2015","Hourly","1h–48h ahead","RMSE, MAE","First large-scale operational ML-based air quality forecasting system; demonstrated superiority over NWP-only baseline; deployed citywide in Beijing; foundational reference for practical AQF system design","Non-graph spatial modeling (interpolation only); does not capture inter-station pollutant transport dynamics; traditional ML, no deep spatiotemporal learning","Foundational AQF application paper; motivates graph-based approaches over simple spatial interpolation","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD 2015)","@inproceedings{zheng2015finegrained,   author    = {Zheng, Yu and Yi, Xiuwen and Li, Ming and Li, Ruiyuan and Shan, Zhangqing and Chang, Eric and Li, Tianrui},   title     = {Forecasting Fine-Grained Air Quality Based on Big Data},   booktitle = {Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining},   year      = {2015},   pages     = {2267--2276},   doi       = {10.1145/2783258.2783373} }","Beijing-PRSA","Yes","None","Zheng2015FineGrained"
"Deep Distributed Fusion Network for Air Quality Prediction","https://doi.org/10.1145/3219819.3219822","2018","Deep Distributed Fusion Network (LSTM + Encoder-Decoder Fusion)","Distributed LSTM encoders per monitoring station; meteorological grid data via CNN; spatial attention fusion across stations; encoder-decoder with attention; multi-source data fusion (air quality + meteorology + spatial context)","Per-station LSTM encodes local air quality history → CNN encodes grid meteorological fields → spatial attention fuses station and meteorological representations → Seq2Seq decoder predicts future PM2.5 at target station","Beijing 35-station air quality dataset + GDAS meteorological grid data + road network","2013–2017","Hourly","1h–24h ahead","RMSE, MAE","Outperforms GeoMAN and MSTAN on Beijing dataset; spatial attention over station encoders improves multi-station fusion; influential reference for encoder-decoder PM2.5 forecasting with heterogeneous data fusion","No explicit graph neural network (uses attention over station list, not graph convolution); limited inter-station physical transport modeling","Key KDD benchmark paper for deep AQF; encoder-decoder design related to thesis Seq2Seq forecasting paradigm","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD 2018)","@inproceedings{yi2018deepdistributed,   author    = {Yi, Xiuwen and Zhang, Junbo and Wang, Zhaoyuan and Li, Tianrui and Zheng, Yu},   title     = {Deep Distributed Fusion Network for Air Quality Prediction},   booktitle = {Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining},   year      = {2018},   pages     = {965--973},   doi       = {10.1145/3219819.3219822} }","Beijing-PRSA","Yes","None","Yi2018DeepDistributed"
"Deep Learning","https://www.deeplearningbook.org/","2016","Textbook / Foundational Reference (Non-ML application paper)","Comprehensive coverage: feedforward networks, regularization, optimization (Adam, SGD, momentum), CNNs, RNNs/LSTMs, autoencoders, generative models, probabilistic graphical models; mathematical foundations of deep learning","Textbook reference covering theoretical and practical foundations of deep learning including all architectures and training methods used in PM2.5 forecasting models","N/A (theoretical textbook)","N/A","N/A","N/A","N/A","Definitive reference for LSTM, GRU, Seq2Seq, attention mechanisms, optimization algorithms, and regularization techniques employed in spatiotemporal PM2.5 forecasting; covers Adam optimizer, teacher forcing, and architectural design principles","Published 2016; does not cover post-2016 developments (Transformers, GNNs)","Core theoretical foundation for all deep learning architectures in thesis; cited for LSTM, optimization, and training methodology","MIT Press","@book{goodfellow2016deeplearning,   author    = {Goodfellow, Ian and Bengio, Yoshua and Courville, Aaron},   title     = {Deep Learning},   publisher = {MIT Press},   year      = {2016},   url       = {https://www.deeplearningbook.org} }","Other","Unknown","None","Goodfellow2016DL"
"Adam: A Method for Stochastic Optimization","https://doi.org/10.48550/arXiv.1412.6980","2015","Optimization Algorithm (Adam Optimizer)","Adaptive learning rates per parameter; first moment (mean gradient) and second moment (uncentered variance) estimation; bias correction for initial time steps; hyperparameters β1=0.9, β2=0.999, ε=10^{-8}; AdaGrad and RMSProp generalization","Compute gradient of loss → update first moment m_t = β1·m_{t-1} + (1-β1)·g_t → update second moment v_t = β2·v_{t-1} + (1-β2)·g_t² → bias correction m̂_t, v̂_t → parameter update θ_t = θ_{t-1} - α·m̂_t/(√v̂_t + ε)","Various deep learning benchmark tasks: MNIST, IMDB, multi-box object detection","N/A (optimization algorithm paper)","N/A","N/A","Training loss curves; test accuracy","Adam converges faster than SGD and AdaGrad for sparse gradient problems; standard optimizer for training all spatiotemporal deep learning models including GCN-LSTM architectures; handles non-stationary objectives common in air quality time series","May converge to suboptimal solutions vs SGD with momentum on some tasks; weight decay interaction requires AdamW correction","Standard training optimizer for all models in thesis and literature; cited for training methodology","International Conference on Learning Representations (ICLR 2015)","@inproceedings{kingma2015adam,   author    = {Kingma, Diederik P. and Ba, Jimmy},   title     = {Adam: A Method for Stochastic Optimization},   booktitle = {International Conference on Learning Representations},   year      = {2015},   url       = {https://arxiv.org/abs/1412.6980} }","Other","Unknown","None","Kingma2015Adam"
"A Learning Algorithm for Continually Running Fully Recurrent Neural Networks","https://doi.org/10.1162/neco.1989.1.2.270","1989","Training Algorithm (Teacher Forcing / RTRL)","Real-Time Recurrent Learning (RTRL) algorithm; complete gradient computation for fully recurrent networks; teacher forcing training regime where ground-truth previous outputs are fed as decoder inputs during training rather than model predictions","Derive exact gradient computation for fully recurrent networks via RTRL → formulate teacher forcing as training strategy: feed target y_{t-1} as input to decoder at step t instead of predicted ŷ_{t-1} → analyze convergence and exposure bias implications","Synthetic recurrent network benchmarks","N/A (foundational training algorithm paper)","N/A","N/A (general sequential decoding)","Training convergence; gradient accuracy","Coined 'teacher forcing' training paradigm used in all Seq2Seq and encoder-decoder PM2.5 multi-step forecasting models; enables stable training of recurrent decoders; leads to exposure bias during inference addressed by scheduled sampling","Creates exposure bias (train/test distribution mismatch); scheduled sampling and professor forcing developed as remedies","Teacher forcing used in thesis multi-step decoder training; foundational reference for Seq2Seq training methodology in AQF models","Neural Computation","@article{williams1989learning,   author  = {Williams, Ronald J. and Zipser, David},   title   = {A Learning Algorithm for Continually Running Fully Recurrent Neural Networks},   journal = {Neural Computation},   year    = {1989},   volume  = {1},   number  = {2},   pages   = {270--280},   doi     = {10.1162/neco.1989.1.2.270} }","Other","Unknown","None","Williams1989Learning"
"STGATN: A novel spatiotemporal graph attention network for predicting pollutant concentrations at multiple stations","10.1371/journal.pone.0328532","2025","Spatiotemporal Graph Attention Network (STGATN) — GAT + TCN + Transformer Attention, Encoder-Decoder","ST-Block: Graph Attention Network (GAT) for dynamic spatial dependencies + Temporal Attention (TemAtt) for nonlinear temporal correlations + Fusion Gate for adaptive integration; Gated Temporal Convolutional Network (GTCN) with dilated causal convolutions for causal temporal feature extraction; Transformer Attention (TransAtt) between encoder and decoder to map historical representations directly to future steps without autoregressive decoding; Spatiotemporal Embedding (STE) encoding positional + timestamp information; Encoder-decoder architecture; 85,827 parameters; hidden dim D=32, 4 attention heads, L=1 ST-Block layer; MAE loss with L2 regularization; Adam optimizer lr=0.001; batch=32; 50 epochs","Model the 12-station Beijing monitoring network as a weighted undirected graph → encode historical P=12 steps through Conv1D projection → encoder (ST-Block + GTCN + Fusion Gate) extracts spatiotemporal correlations → TransAtt converts encoder output directly to Q=6 future representations (bypassing dynamic decoding to avoid error accumulation) → decoder reconstructs future representations → FC layer outputs 6-step PM2.5 predictions; trains on 50%/25%/25% train/val/test split; Mean-Std normalization; PM2.5-only input (no meteorological variables or other pollutants — ablation shows adding them consistently degrades performance)","12 Beijing monitoring stations (Beijing Environmental Monitoring Center): Aotizhongxin, Changping, Dingling, Dongsi, Guanyuan, Gucheng, Huairou, Nongzhanguan, Shunyi, Tiantan, Wanliu, Wanshouxigong — same 12-station PRSA dataset as UCI Beijing Multi-Site Air Quality dataset","March 1, 2013 – February 28, 2017","Hourly (35,064 hours total)","1h–6h ahead (primary evaluation); extended to 24h in long-term analysis; direct multi-step decoding (Q=6 steps simultaneously via TransAtt, not autoregressive)","RMSE, MAE, IA (Index of Agreement); evaluated per horizon (steps 1–6) and per concentration range (0–50, 50–200, 200–500, 500–800 µg/m³) and per time-of-day segment","6-step PM2.5: RMSE=34.946, MAE=19.156, IA=0.9490; outperforms all 8 baselines (ARIMA, SVR, LSTM, TCN, T-GCN, MTGNN, AGCRN, GC-SRTCN-L) across all horizons; 25.9% RMSE reduction vs ARIMA, 9.0% vs LSTM, 0.6% vs best baseline GC-SRTCN-L; 1-step: RMSE=18.718, MAE=9.848, IA=0.9865; PM2.5-only input outperforms all multi-pollutant and meteorological combinations; ablation confirms adding NO2 increases 6-step RMSE by 10.4%; lightweight: 85,827 params, 17.5s per 100 training iterations on V100 GPU","Fixed input horizon P=12 (same as thesis); performance degrades for extreme PM2.5 > 300 µg/m³; multi-station synchronous optimization occasionally sacrifices individual station accuracy; future work targets 24h–1week horizons; currently restricted to Beijing dataset; no meteorological inputs used (deliberate design choice but limits physical interpretability)","Multi-station PM2.5 forecasting across exact same 12 Beijing PRSA stations as thesis; direct multi-step decoding (6-step, same as thesis); PM2.5-only target; GAT spatial modeling — highly relevant as architectural comparison baseline","PLOS ONE (Public Library of Science), Volume 20, Issue 7, July 30, 2025","@article{Xu2025STGATN, author={Xu, Huazhen and Song, Wei and Qian, Lanmei and Mei, Xiangxiang and Zou, Guojian}, title={{STGATN}: A Novel Spatiotemporal Graph Attention Network for Predicting Pollutant Concentrations at Multiple Stations}, journal={PLOS ONE}, year={2025}, volume={20}, number={7}, pages={e0328532}, doi={10.1371/journal.pone.0328532}, publisher={Public Library of Science}}","Beijing-PRSA","Yes","Dynamic","Xu2025STGATN"
